Ni;Ti;Hf;Cv;melting point;electronegativity;atomic radius;ionic radius;atomic mass;wcr;hom.T;hom.time;sht.T;sht.time;ag.T;ag.time;Af;Hysteresis
50;35;15;0.2154;1646.7;1.689;0.1378;0.0782;72.894;0.458;0;0;0;0;0;0;220;70
49.8;42.2;8;0.2411;1607.8;1.7051;0.137;0.0776;63.731;0.435;1000;24;0;0;0;0;165;64.3
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;600;1;127;60
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;600;3;156;61
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;600;48;165;62
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;600;24;165;63
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;0;0;83;73
49;36;15;0.2139;1648.8;1.6853;0.138;0.0782;72.785;0.46;950;1.5;1000;1;700;5;210;59
49;36;15;0.2139;1648.8;1.6853;0.138;0.0782;72.785;0.46;950;1.5;1000;1;700;10;190;66
49;36;15;0.2139;1648.8;1.6853;0.138;0.0782;72.785;0.46;950;1.5;1000;1;700;20;195;68
49;36;15;0.2139;1648.8;1.6853;0.138;0.0782;72.785;0.46;950;1.5;1000;1;700;120;192;70
49;36;15;0.2139;1648.8;1.6853;0.138;0.0782;72.785;0.46;950;1.5;900;1;0;0;231;52
50.3;25.6;24.1;0.1893;1697.1;1.6683;0.1388;0.0789;84.81;0.488;1050;72;0;0;500;100;291;34
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;950;4;950;4;0;0;174;53
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;950;4;950;4;550;2;315;93
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;800;3;129;35
50;40;10;0.2333;1618.6;1.701;0.1372;0.0778;66.364;0.441;0;0;900;1;900;1;193;69
50;40;10;0.2333;1618.6;1.701;0.1372;0.0778;66.364;0.441;0;0;900;1;0;0;198;70
50;40;10;0.2333;1618.6;1.701;0.1372;0.0778;66.364;0.441;0;0;900;1;400;1;187;71
50;40;10;0.2333;1618.6;1.701;0.1372;0.0778;66.364;0.441;0;0;900;1;600;1;210;86
49;41;10;0.2318;1620.8;1.6973;0.1374;0.0778;66.256;0.443;0;0;900;1;0;0;194;64
49;41;10;0.2318;1620.8;1.6973;0.1374;0.0778;66.256;0.443;0;0;900;1;800;1;191;68
40;50;10;0.2177;1640.1;1.664;0.1394;0.0776;65.283;0.457;0;0;900;1;0;0;212;63
49.8;42.2;8;0.2411;1607.8;1.7051;0.137;0.0776;63.731;0.435;800;60;0;0;0;0;177;80
52;28;20;0.2027;1670.4;1.6844;0.138;0.0786;79.639;0.472;1000;48;0;0;0;0;160;60
51.2;28.8;20;0.2016;1672.1;1.6814;0.1381;0.0786;79.553;0.473;1000;48;0;0;0;0;197;66
50.7;29.3;20;0.201;1673.2;1.6796;0.1382;0.0786;79.499;0.474;1000;48;0;0;0;0;137;26
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1000;48;0;0;0;0;189;33
50.5;36.2;13.3;0.2219;1636;1.6949;0.1375;0.0781;70.728;0.451;0;0;0;0;0;0;31.2;62.9
50.3;25;24.7;0.1878;1700.4;1.6668;0.1389;0.079;85.593;0.49;0;0;0;0;0;0;422;82
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;550;1;98;51
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;550;24;113;53
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;500;24;87;53
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;550;48;121;54
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;500;48;96;54
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;550;10;111;55
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;500;10;76;56
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;450;24;50;57
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;450;48;48;59
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;500;1;51;62
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;450;3;29;74
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;450;1;42;81
49;41;10;0.2318;1620.8;1.6973;0.1374;0.0778;66.256;0.443;0;0;0;0;0;0;185;62
49;36;15;0.2139;1648.8;1.6853;0.138;0.0782;72.785;0.46;0;0;0;0;0;0;221;51
49.5;35.5;15;0.2147;1647.7;1.6872;0.1379;0.0782;72.839;0.459;1000;30;0;0;0;0;254;44
49.5;35.5;15;0.2147;1647.7;1.6872;0.1379;0.0782;72.839;0.459;0;0;0;0;0;0;254.8;49.3
40;50;10;0.2177;1640.1;1.664;0.1394;0.0776;65.283;0.457;0;0;0;0;0;0;205;65
35;50;15;0.193;1678.9;1.6335;0.1411;0.0779;71.272;0.483;0;0;0;0;0;0;290;55
49.8;35.2;15;0.2151;1647.1;1.6883;0.1378;0.0782;72.872;0.458;0;0;0;0;0;0;210;74
49.8;39.2;11;0.2292;1624.6;1.6979;0.1374;0.0779;67.648;0.445;0;0;0;0;0;0;182;59
49.8;40.7;9.5;0.235;1616.2;1.7015;0.1372;0.0778;65.689;0.44;0;0;0;0;0;0;159;69
49.8;42.2;8;0.2411;1607.8;1.7051;0.137;0.0776;63.731;0.435;0;0;0;0;0;0;142;73
50.1;24.9;25;0.1868;1702.5;1.6654;0.139;0.079;85.963;0.492;0;0;0;0;550;3;273;97
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1050;72;1050;3;775;0.5;124;32
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1050;72;1050;3;800;0.5;110;32
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1050;72;0;0;0;0;110;33
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1050;72;1050;3;825;0.5;110;34
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1050;72;1050;3;750;0.5;148;35
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1050;72;1050;3;725;0.5;174;42
49.8;30.2;20;0.1997;1675.1;1.6763;0.1384;0.0786;79.401;0.475;1050;72;0;0;0;0;331;46.4
50;30;20;0.2;1674.7;1.677;0.1384;0.0786;79.423;0.475;1000;4;900;1;0;0;309;69
50;38;12;0.2258;1629.8;1.6962;0.1374;0.078;68.976;0.448;900;48;0;0;0;0;194;52
48.5;36.5;15;0.2132;1649.9;1.6835;0.1381;0.0782;72.731;0.46;1000;11;0;0;500;1;255;55
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1000;4;900;1;550;2;127;76
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1000;4;900;1;550;30;295;48
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1000;4;900;1;550;1;210;66
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1000;4;900;1;550;5;317;72
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1000;4;900;1;0;0;157;78
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1000;4;900;1;550;2;308;84
49.42;35.95;14.63;0.2158;1645.8;1.6877;0.1379;0.0782;72.348;0.458;0;0;0;0;0;0;230;54
49.8;40.2;10;0.233;1619;1.7003;0.1372;0.0778;66.342;0.441;900;100;0;0;0;0;199;73
49.8;40.2;10;0.233;1619;1.7003;0.1372;0.0778;66.342;0.441;800;1;0;0;0;0;173;55
50;25;25;0.1867;1702.8;1.665;0.139;0.079;85.953;0.492;900;100;0;0;0;0;441.4;17.2
49.8;30.2;20;0.1997;1675.1;1.6763;0.1384;0.0786;79.401;0.475;950;72;0;0;0;0;337.6;37.5
49.8;35.2;15;0.2151;1647.1;1.6883;0.1378;0.0782;72.872;0.458;950;72;0;0;0;0;257.9;50.9
49.8;39.2;11;0.2292;1624.6;1.6979;0.1374;0.0779;67.648;0.445;950;72;0;0;0;0;202.9;61
49.8;40.2;10;0.233;1619;1.7003;0.1372;0.0778;66.342;0.441;950;72;0;0;0;0;191.8;63.7
49.8;42.2;8;0.2411;1607.8;1.7051;0.137;0.0776;63.731;0.435;950;72;0;0;0;0;175.3;64.2
49.8;44.2;6;0.2497;1596.6;1.7099;0.1368;0.0775;61.119;0.428;950;72;0;0;0;0;148.4;57.5
49.8;46.2;4;0.2589;1585.4;1.7147;0.1365;0.0773;58.507;0.421;950;72;0;0;0;0;133.8;48
49.8;48.2;2;0.2689;1574.2;1.7195;0.1363;0.0772;55.895;0.414;950;72;0;0;0;0;121.7;39.1
51.2;28.8;20;0.2016;1672.1;1.6814;0.1381;0.0786;79.553;0.473;1000;48;900;3;600;3;134;51
