Ni;Ti;Hf;Cv;melting point;electronegativity;atomic radius;ionic radius;atomic mass;wcr;hom.T;hom.time;sht.T;sht.time;ag.T;ag.time;Af;Hysteresis
51;49;0;0.281724;15.6035;1.7287;0.13578;0.07702;53.4131;0.40536;;;;;;;2;22
51;36.5;12.5;0.225487;16.30475;1.6987;0.13728;0.07802;69.73685;0.44786;;;;;;;49;66
51;29;20;0.201369;16.7255;1.6807;0.13818;0.07862;79.5311;0.47336;;;;;;;53;49
51;19;30;0.176236;17.2865;1.6567;0.13938;0.07942;92.5901;0.50736;;;;;;;522;129
50.8;29.2;20;0.201096;16.7298;1.67996;0.138224;0.078616;79.50948;0.473688;;;;;;;110;33
50.7;49.3;0;0.281208;15.60995;1.72759;0.135846;0.077014;53.38067;0.405852;;;;;;;34;28
50.7;44.3;5;0.255682;15.89045;1.71559;0.136446;0.077414;59.91017;0.422852;;;;;;;49;58
50.7;39.3;10;0.234405;16.17095;1.70359;0.137046;0.077814;66.43967;0.439852;;;;;;;45;110
50.7;34.3;15;0.216397;16.45145;1.69159;0.137646;0.078214;72.96917;0.456852;;;;;;;76;50
50.7;29.3;20;0.200959;16.73195;1.67959;0.138246;0.078614;79.49867;0.473852;;;;;;;171;28
50.7;24.3;25;0.187577;17.01245;1.66759;0.138846;0.079014;86.02817;0.490852;;;;;;;333;72
50.7;19.3;30;0.175865;17.29295;1.65559;0.139446;0.079414;92.55767;0.507852;;;;;;;620;181
50.6;29.4;20;0.200822;16.7341;1.67922;0.138268;0.078612;79.48786;0.474016;;;;;;;174;53
50.6;24.4;25;0.187447;17.0146;1.66722;0.138868;0.079012;86.01736;0.491016;;;;;;;356;66
50.5;36.2;13.3;0.221907;16.36038;1.69493;0.137486;0.078074;70.72752;0.4514;;;;;;;31.2;62.9
50.5;34.5;15;0.216108;16.45575;1.69085;0.13769;0.07821;72.94755;0.45718;;;;;;;88;36.2
50.5;29.5;20;0.200685;16.73625;1.67885;0.13829;0.07861;79.47705;0.47418;;;;;;;209;29
50.4;29.6;20;0.200548;16.7384;1.67848;0.138312;0.078608;79.46624;0.474344;;;;;;;210;32
50.3;49.7;0;0.280518;15.61855;1.72611;0.135934;0.077006;53.33743;0.406508;;;;;;;78;32
50.3;44.7;5;0.255033;15.89905;1.71411;0.136534;0.077406;59.86693;0.423508;;;;;;;103;62
50.3;39.7;10;0.233793;16.17955;1.70211;0.137134;0.077806;66.39643;0.440508;;;;;;;127;75
50.3;34.7;15;0.215819;16.46005;1.69011;0.137734;0.078206;72.92593;0.457508;;;;;;;170;57
50.3;29.7;20;0.200411;16.74055;1.67811;0.138334;0.078606;79.45543;0.474508;;;;;;;223;43
50.3;25;24.7;0.187808;17.00422;1.66683;0.138898;0.078982;85.59316;0.490488;;;;;;;422;82
50.3;24.7;25;0.187057;17.02105;1.66611;0.138934;0.079006;85.98493;0.491508;;;;;;;428;95
50.3;19.7;30;0.175371;17.30155;1.65411;0.139534;0.079406;92.51443;0.508508;;;;;;;622;135
50.2;29.8;20;0.200274;16.7427;1.67774;0.138356;0.078604;79.44462;0.474672;;;;;;;268;36
50;50;0;0.28;15.625;1.725;0.136;0.077;53.305;0.407;;;;;;;106;37
50;45;5;0.254545;15.9055;1.713;0.1366;0.0774;59.8345;0.424;;;;;;;141;54
50;42;8;0.241379;16.0738;1.7058;0.13696;0.07764;63.7522;0.4342;;;;;;;115;69.42
50;40;10;0.233333;16.186;1.701;0.1372;0.0778;66.364;0.441;;;;;;;187;71
50;39;11;0.229508;16.2421;1.6986;0.13732;0.07788;67.6699;0.4444;;;;;;;154.45;60.9
50;38;12;0.225806;16.2982;1.6962;0.13744;0.07796;68.9758;0.4478;;;;;;;194;52
50;36;14;0.21875;16.4104;1.6914;0.13768;0.07812;71.5876;0.4546;;;;;;;188.1;56.12
50;35;15;0.215385;16.4665;1.689;0.1378;0.0782;72.8935;0.458;;;;;;;249;45
50;33;17;0.208955;16.5787;1.6842;0.13804;0.07836;75.5053;0.4648;;;;;;;224.31;44.53
50;30;20;0.2;16.747;1.677;0.1384;0.0786;79.423;0.475;;;;;;;331;45
50;25;25;0.186667;17.0275;1.665;0.139;0.079;85.9525;0.492;;;;;;;426;48
50;20;30;0.175;17.308;1.653;0.1396;0.0794;92.482;0.509;;;;;;;583;66
49.8;50.2;0;0.279654;15.6293;1.72426;0.136044;0.076996;53.28338;0.407328;;;;;;;115.3;32
49.8;48.2;2;0.268893;15.7415;1.71946;0.136284;0.077156;55.89518;0.414128;;;;;;;121.7;39.1
49.8;46.2;4;0.25893;15.8537;1.71466;0.136524;0.077316;58.50698;0.420928;;;;;;;133.8;48
49.8;45.2;5;0.25422;15.9098;1.71226;0.136644;0.077396;59.81288;0.424328;;;;;;;137.6;58
49.8;44.2;6;0.249678;15.9659;1.70986;0.136764;0.077476;61.11878;0.427728;;;;;;;148.4;57.5
49.8;42.2;8;0.241065;16.0781;1.70506;0.137004;0.077636;63.73058;0.434528;;;;;;;142;73
49.8;40.7;9.5;0.234986;16.16225;1.70146;0.137184;0.077756;65.68943;0.439628;;;;;;;159;69
49.8;40.2;10;0.233027;16.1903;1.70026;0.137244;0.077796;66.34238;0.441328;;;;;;;188;62
49.8;39.2;11;0.229205;16.2464;1.69786;0.137364;0.077876;67.64828;0.444728;;;;;;;182;59
49.8;35.2;15;0.215095;16.4708;1.68826;0.137844;0.078196;72.87188;0.458328;;;;;;;257.9;50.9
49.8;30.2;20;0.199726;16.7513;1.67626;0.138444;0.078596;79.40138;0.475328;;;;;;;331;46.4
49.8;25.2;25;0.186406;17.0318;1.66426;0.139044;0.078996;85.93088;0.492328;;;;;;;442;36
49.8;20.2;30;0.174752;17.3123;1.65226;0.139644;0.079396;92.46038;0.509328;;;;;;;579;62
49.5;35.5;15;0.21466;16.47725;1.68715;0.13791;0.07819;72.83945;0.45882;;;;;;;254.8;49.3
49.42;35.95;14.63;0.215773;16.45821;1.687742;0.137883;0.078159;72.34762;0.457693;;;;;;;230;54
49.4;38.6;12;0.224906;16.3111;1.69398;0.137572;0.077948;68.91094;0.448784;;;;;;;247;62
49;48;3;0.262481;15.8148;1.7141;0.13658;0.07722;57.1146;0.41884;;;;;;;128;52
49;46;5;0.252915;15.927;1.7093;0.13682;0.07738;59.7264;0.42564;;;;;;;142;62
49;44;7;0.244023;16.0392;1.7045;0.13706;0.07754;62.3382;0.43244;;;;;;;167;76
49;41;10;0.231797;16.2075;1.6973;0.13742;0.07778;66.2559;0.44264;;;;;;;194;64
49;36;15;0.213933;16.488;1.6853;0.13802;0.07818;72.7854;0.45964;;;;;;;234;50
48.5;36.5;15;0.213206;16.49875;1.68345;0.13813;0.07817;72.73135;0.46046;;;;;;;255;55
40;50;10;0.217687;16.401;1.664;0.1394;0.0776;65.283;0.4574;;;;;;;205;65
35;50;15;0.193038;16.789;1.6335;0.1411;0.0779;71.272;0.4826;;;;;;;290;55
27;70;3;0.223726;16.2878;1.6327;0.14142;0.07678;54.7364;0.45492;;;;;;;132.4;93.2
24;70;6;0.205749;16.5206;1.6144;0.14244;0.07696;58.3298;0.47004;;;;;;;164.6;100
21;70;9;0.189481;16.7534;1.5961;0.14346;0.07714;61.9232;0.48516;;;;;;;254.7;78.9
